,0
0,LGd
1,DG
2,TH
3,LGd
4,LGd
5,LGd
6,TH
7,TH
8,TH
9,LGd
10,DG
11,SUB
12,TH
13,LGd
14,VPL
15,SUB
16,TH
17,LGd
18,DG
19,VPL
20,SUB
21,TH
22,VPL
23,VPL
24,LGd
25,TH
26,SUB
27,SUB
28,LGd
29,VISp
30,LGd
31,TH
32,LGd
33,TH
34,LGd
35,TH
36,VISp
37,LGd
38,TH
39,TH
40,TH
41,SUB
42,VPL
43,SUB
44,TH
45,LGd
46,DG
47,VPL
48,VPL
49,DG
50,SUB
51,SUB
52,DG
53,TH
54,DG
55,SUB
56,VPL
57,LGd
58,TH
59,SUB
60,LGd
61,TH
62,DG
63,TH
64,TH
65,DG
66,TH
67,LGd
68,TH
69,TH
70,TH
71,SUB
72,LGd
73,LGd
74,TH
75,LGd
76,SUB
77,VPL
78,TH
79,LGd
80,TH
81,SUB
82,TH
83,LGd
84,DG
85,LGd
86,SUB
87,VISp
88,SUB
89,SUB
90,SUB
91,DG
92,SUB
93,LGd
94,TH
95,TH
96,TH
97,LGd
98,LGd
99,DG
100,LGd
101,LGd
102,LGd
103,LGd
104,SUB
105,SUB
106,DG
107,SUB
108,SUB
109,LGd
110,LGd
111,TH
112,SUB
113,VPL
114,SUB
115,TH
116,TH
117,DG
118,SUB
119,SUB
120,SUB
121,LGd
122,TH
123,LGd
124,VPL
125,LGd
126,DG
127,DG
128,TH
129,VPL
130,VPL
131,TH
132,TH
133,TH
134,DG
135,SUB
136,TH
137,LGd
138,VISp
139,DG
140,TH
141,TH
142,SUB
143,LGd
144,TH
145,TH
146,VPL
147,TH
148,TH
149,DG
150,VPL
151,TH
152,DG
153,TH
154,SUB
155,LGd
156,VPL
157,LGd
158,SUB
159,LGd
160,LGd
161,LGd
162,LGd
163,TH
164,DG
165,SUB
166,SUB
167,VPL
168,VPL
169,VPL
170,TH
171,VPL
172,VPL
173,TH
174,DG
175,SUB
176,LGd
177,LGd
178,VISp
179,LGd
180,VPL
181,TH
182,VISp
183,LGd
184,VISp
185,TH
186,SUB
187,SUB
188,TH
189,TH
190,VPL
191,TH
192,DG
193,LGd
194,DG
195,LGd
196,SUB
197,VISp
198,LGd
199,SUB
200,VISp
201,TH
202,LGd
203,TH
204,VPL
205,VPL
206,SUB
207,VISp
208,TH
209,SUB
210,LGd
211,LGd
212,VPL
213,DG
214,DG
215,SUB
216,SUB
217,SUB
218,SUB
219,LGd
220,LGd
221,DG
222,LGd
223,LGd
224,TH
225,TH
226,SUB
227,LGd
228,TH
229,VISp
230,DG
231,TH
232,DG
233,LGd
234,LGd
235,LGd
236,SUB
237,SUB
238,TH
239,VISp
240,VISp
241,LGd
242,TH
243,TH
244,VISp
245,TH
246,SUB
247,DG
248,LGd
249,DG
250,VPL
251,LGd
252,LGd
253,LGd
254,LGd
255,TH
256,VPL
257,LGd
258,TH
259,VPL
260,DG
261,VPL
262,DG
263,LGd
264,VPL
265,DG
266,VPL
267,SUB
268,LGd
269,LGd
270,DG
271,LGd
272,DG
273,TH
274,LGd
275,VPL
276,TH
277,DG
278,SUB
279,DG
280,LGd
281,SUB
282,DG
283,DG
284,VPL
285,TH
286,SUB
287,TH
288,SUB
289,DG
290,LGd
291,SUB
292,SUB
293,LGd
294,TH
295,VPL
296,SUB
297,TH
298,TH
299,VPL
300,LGd
301,SUB
302,LGd
303,LGd
304,VPL
305,SUB
306,VPL
307,VISp
308,LGd
309,TH
310,DG
311,VPL
312,SUB
313,VPL
314,DG
315,TH
316,SUB
317,VISp
318,DG
319,VPL
320,VISp
321,SUB
322,LGd
323,DG
324,TH
325,DG
326,SUB
327,LGd
328,VISp
329,VPL
330,SUB
331,SUB
332,TH
333,DG
334,DG
335,VPL
336,DG
337,VISp
338,LGd
339,TH
340,LGd
341,LGd
342,TH
343,LGd
344,LGd
345,TH
346,LGd
347,DG
348,TH
349,TH
350,SUB
351,SUB
352,SUB
353,LGd
354,VPL
355,LGd
356,DG
357,LGd
358,TH
359,LGd
360,LGd
361,VISp
362,TH
363,VPL
364,DG
365,SUB
366,DG
367,DG
368,VISp
369,SUB
370,TH
371,TH
372,VPL
373,TH
374,SUB
375,LGd
